place_standardized,lat,lon
"Canton, China",23.1288454,113.2590064
"New Orleans, Louisiana",29.9561422,-90.0733934
China,35.000074,104.999927
New York,40.7127281,-74.0060152
"Savannah, Georgia",32.0790074,-81.0921335
Pennsylvania,40.9699889,-77.7278831
"Washington, D.C",38.8950982,-77.0363849
"Brooklyn, New York",40.6526006,-73.9497211
"Shanghai, China",31.2312707,121.4700152
Massachusetts,42.3788774,-72.032366
"Chesterfield County, Virginia",37.3859982,-77.578509
"Mechanicsville, Virginia",37.6039694,-77.3717321
"New Bern, North Carolina",35.1068428,-77.0398762
"Parmelee, South Dakota",43.3230585,-101.026536
Connecticut,41.6500201,-72.7342163
"Fredericksburg, Virginia",38.3031837,-77.4605399
292 George St,-37.8006211,144.9818024
Louisiana,30.8703881,-92.007126
North Carolina,35.6729639,-79.0392919
Virginia,37.1232245,-78.4927721
"Columbus, Ohio",39.9622601,-83.0007065
"Mount Airy, North Carolina",36.4993877,-80.6072138
"Dobson, Surry County, North Carolina",36.3956891,-80.722567
"Hong Kong, China",22.3492155,114.1857978
Georgia,32.3293809,-83.1137366
"York, Pennsylvania",39.962493,-76.7276989
"Petersburg, Virginia",37.227928,-77.4019268
"Harrisburg, Pennsylvania",40.2663107,-76.8861122
"Thibodeaux, Louisiana",30.2075435,-92.0212839
"Hampton, Virginia",37.0264414,-76.3442846
"New Haven, Connecticut",41.3082138,-72.9250518
New York City,40.7127281,-74.0060152
"Providence, Rhode Island",41.8239891,-71.4128343
"Cane River Crossing, Louisiana",NA,NA
"Guangzhou, China",23.1288454,113.2590064
"Sharpsburg, Maryland",39.4581995,-77.7486599
"Gettysburg, Pennsylvania",39.8308973,-77.231012
"Meriden, Connecticut",41.5381535,-72.8070435
"Mystic Island, Connecticut",NA,NA
Hong Kong,22.3492155,114.1857978
Philadelphia,39.9527237,-75.1635262
"Richmond, Virginia",37.5385087,-77.43428
"Richmond, Kentucky",37.7478572,-84.2946539
"Spotsylvania County, Orange County, Virginia",38.2201846,-77.6014545
"Spotsylvania County, Virginia",38.1880936,-77.6741751
Indiana,40.3270127,-86.1746933
Prince William Counties,NA,NA
"Newport News, Virginia",36.9775016,-76.42977
"Manassas, Virginia",38.7509488,-77.4752667
China (Swarthy complexion?),NA,NA
"Macao, China",22.1757605,113.5514142
United States,39.7837304,-100.445882
"St. Joseph's Bay, Florida",28.0337959,-80.586398
"20 Mott Street, New York, New York",40.7143722,-73.9985434
"Boston, Massachusetts",42.3588336,-71.0578303
"Wheeler, New York",42.4303485,-77.3324807
New Jersey,40.0757384,-74.4041622
Florida,27.7567667,-81.4639835
"Washington, D.C.",38.8950982,-77.0363849
Chesapeake Bay,38.2280573,-76.2629345
"Washington, Navy Yard",38.8734441,-76.9988481
New Orleans,29.9561422,-90.0733934
"Staten Island, New York",40.5834557,-74.1496048
"Newark, New Jersey",40.735657,-74.1723667
Boston,42.3588336,-71.0578303
"Kingston, Ulster, New York",41.9287812,-74.0023825
Unknown,5.3565834,95.4705535
Not found on fold,NA,NA
"Huron, New York, district 24",NA,NA
"Mystic, Connecticut",41.3542366,-71.9664041
"New London, Connecticut",41.3556187,-72.0997804
"Noank, Connecticut",41.3339956,-71.997704100000007
Revisit this later!,NA,NA
Boston Navy Yard,42.374846,-71.0557859
